Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x466262c2a275aB106E54D95B5B04603e12b58cA1', '0x42E49B48573c725ee32d2579060Ed06894f97002', '0x5bf3B7c14b10f16939d63Bd679264A1Aa951B4D5']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0x5ef4c5352882b10893b70DbcaA0C000965bd23c5'],['ProtocolFeePercentagesProvider']
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,"['0x6207ed574152496c9B072C24FD87cE9cd9E17320', '0x5ef4c5352882b10893b70DbcaA0C000965bd23c5']","['undef', 'ProtocolFeePercentagesProvider']"
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,"['0x6207ed574152496c9B072C24FD87cE9cd9E17320', '0x5ef4c5352882b10893b70DbcaA0C000965bd23c5']","['undef', 'ProtocolFeePercentagesProvider']"
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesCollector,20210418-vault,['0x70Bbd023481788e443472e123AB963e5EBF58D06'],['ProtocolFeesWithdrawer']
setPaused(bool),WeightedPool,20210418-weighted-pool,['0xE8E4ee488363A032aA57AbE2c0E8BfD6c66685b5'],['undef']
setSwapFeePercentage(uint256),StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),NoProtocolFeeLiquidityBootstrappingPoolFactory,20211202-no-protocol-fee-lbp,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),NoProtocolFeeLiquidityBootstrappingPoolFactory,20211202-no-protocol-fee-lbp,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
"set_rewards(address,bytes32,address[8])",RewardsOnlyGauge,20220413-child-chain-gauge-factory,['0xbfD9769b061E57e478690299011A028194D66e3C'],['ChildChainGaugeTokenAdder']
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0xbfD9769b061E57e478690299011A028194D66e3C'],['ChildChainGaugeTokenAdder']
notify_reward_amount(address),ChildChainStreamer,20220413-child-chain-gauge-factory,['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892'],['undef']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['lm']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0x6207ed574152496c9B072C24FD87cE9cd9E17320'],['undef']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
enableRecoveryMode(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
pause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20220906-composable-stable-pool,"['0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['PoolRecoveryHelper', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20220906-composable-stable-pool,"['0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['PoolRecoveryHelper', 'emergency']"
pause(),ComposableStablePool,20220906-composable-stable-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),ComposableStablePool,20220906-composable-stable-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
enableRecoveryMode(),StablePool,20220609-stable-pool-v2,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),WeightedPoolFactory,20220908-weighted-pool-v2,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),WeightedPoolFactory,20220908-weighted-pool-v2,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
enableRecoveryMode(),WeightedPool,20220908-weighted-pool-v2,"['0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['PoolRecoveryHelper', 'emergency']"
enableRecoveryMode(),WeightedPool,20220908-weighted-pool-v2,"['0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['PoolRecoveryHelper', 'emergency']"
pause(),WeightedPool,20220908-weighted-pool-v2,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),WeightedPool,20220908-weighted-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),WeightedPool,20220908-weighted-pool-v2,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892'],['undef']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892'],['undef']
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
pause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
disable(),ManagedPoolFactory,20221021-managed-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),ManagedPoolFactory,20221021-managed-pool,"['0x56ebA8dcDcEC3161Dd220c4B4131c27aF201F892', '0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D']","['undef', 'emergency']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
enableRecoveryMode(),AaveLinearPool,20221207-aave-rebalanced-linear-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
disable(),WeightedPoolFactory,20230206-weighted-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
pause(),WeightedPool,20230206-weighted-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),WeightedPool,20230206-weighted-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
enableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,"['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D', '0xb5e56CC3d2e38e53b1166175C59e921A37cDC1E2']","['emergency', 'PoolRecoveryHelper']"
pause(),ComposableStablePool,20230206-composable-stable-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
setSwapFeePercentage(uint256),ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),ERC4626LinearPoolFactory,20230206-erc4626-linear-pool-v3,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
disable(),YearnLinearPoolFactory,20230213-yearn-linear-pool,['0xf404C5a0c02397f0908A3524fc5eb84e68Bbe60D'],['emergency']
setSwapFeePercentage(uint256),YearnLinearPool,20230213-yearn-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",YearnLinearPool,20230213-yearn-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
