Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)",Vault,20210418-vault,"['0x4574ccBcC09A00C9eE55fB92Fe353699A4fA800e', '0xF537dDd7f4cc72C6C08866b62EAe9378f1F62da8', '0xcf6a66E32dCa0e26AcC3426b851FD8aCbF12Dac7', '0x28A224d9d398a1eBB7BA69BCA515898966Bb1B6b']","['BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer', 'BalancerRelayer']"
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0x42AC0e6FA47385D55Aff070d79eF0079868C48a6'],['ProtocolFeePercentagesProvider']
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,"['0xd2bD536ADB0198f74D5f4f2Bd4Fe68Bae1e1Ba80', '0x42AC0e6FA47385D55Aff070d79eF0079868C48a6']","['undef', 'ProtocolFeePercentagesProvider']"
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,"['0xd2bD536ADB0198f74D5f4f2Bd4Fe68Bae1e1Ba80', '0x42AC0e6FA47385D55Aff070d79eF0079868C48a6']","['undef', 'ProtocolFeePercentagesProvider']"
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesCollector,20210418-vault,['0xEF44D6786b2b4d544b7850Fe67CE6381626Bf2D6'],['ProtocolFeesWithdrawer']
setSwapFeePercentage(uint256),StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),StablePool,20210624-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),NoProtocolFeeLiquidityBootstrappingPoolFactory,20211202-no-protocol-fee-lbp,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),NoProtocolFeeLiquidityBootstrappingPoolFactory,20211202-no-protocol-fee-lbp,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
"set_rewards(address,bytes32,address[8])",RewardsOnlyGauge,20220413-child-chain-gauge-factory,['0x1554ee754707D5C93b7934AF404747Aba521Aaf2'],['ChildChainGaugeTokenAdder']
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0x1554ee754707D5C93b7934AF404747Aba521Aaf2'],['ChildChainGaugeTokenAdder']
notify_reward_amount(address),ChildChainStreamer,20220413-child-chain-gauge-factory,['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97'],['undef']
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
"withdrawCollectedFees(address[],uint256[],address)",ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['lm']
enableRecoveryMode(),StablePool,20220609-stable-pool-v2,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),StablePool,20220609-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0xd2bD536ADB0198f74D5f4f2Bd4Fe68Bae1e1Ba80'],['undef']
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
enableRecoveryMode(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
pause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20220906-composable-stable-pool,"['0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['PoolRecoveryHelper', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20220906-composable-stable-pool,"['0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['PoolRecoveryHelper', 'emergency']"
pause(),ComposableStablePool,20220906-composable-stable-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20220906-composable-stable-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),ComposableStablePool,20220906-composable-stable-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
disable(),WeightedPoolFactory,20220908-weighted-pool-v2,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),WeightedPoolFactory,20220908-weighted-pool-v2,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
enableRecoveryMode(),WeightedPool,20220908-weighted-pool-v2,"['0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['PoolRecoveryHelper', 'emergency']"
enableRecoveryMode(),WeightedPool,20220908-weighted-pool-v2,"['0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['PoolRecoveryHelper', 'emergency']"
pause(),WeightedPool,20220908-weighted-pool-v2,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),WeightedPool,20220908-weighted-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),WeightedPool,20220908-weighted-pool-v2,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97'],['undef']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97'],['undef']
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
enableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),ComposableStablePool,20221122-composable-stable-pool-v2,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
pause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20221122-composable-stable-pool-v2,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
unpause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
disable(),ManagedPoolFactory,20221021-managed-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),ManagedPoolFactory,20221021-managed-pool,"['0xf9D6BdE5c2eef334AC88204CB2eEc07111DCBA97', '0x3c58668054c299bE836a0bBB028Bee3aD4724846']","['undef', 'emergency']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
enableRecoveryMode(),AaveLinearPool,20221207-aave-rebalanced-linear-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
disable(),WeightedPoolFactory,20230206-weighted-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
pause(),WeightedPool,20230206-weighted-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),WeightedPool,20230206-weighted-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
enableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
enableRecoveryMode(),ComposableStablePool,20230206-composable-stable-pool-v3,"['0x3c58668054c299bE836a0bBB028Bee3aD4724846', '0x495F696430F4A51F7fcB98FbE68a9Cb7A07fB1bA']","['emergency', 'PoolRecoveryHelper']"
pause(),ComposableStablePool,20230206-composable-stable-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"startAmplificationParameterUpdate(uint256,uint256)",ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
stopAmplificationParameterUpdate(),ComposableStablePool,20230206-composable-stable-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
setSwapFeePercentage(uint256),ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
disable(),ERC4626LinearPoolFactory,20230206-erc4626-linear-pool-v3,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
disable(),YearnLinearPoolFactory,20230213-yearn-linear-pool,['0x3c58668054c299bE836a0bBB028Bee3aD4724846'],['emergency']
setSwapFeePercentage(uint256),YearnLinearPool,20230213-yearn-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
"setTargets(uint256,uint256)",YearnLinearPool,20230213-yearn-linear-pool,['0x7c68c42De679ffB0f16216154C996C354cF1161B'],['feeManager']
